id,sex,birthyear,deathyear,alive,dam,sire,a,e,z,repro
1,F,1980,1980,0,NA,NA,-1.20706574938542,0.414523534374985,-0.792542215010435,0
2,F,1980,1985,0,NA,NA,0.27742924211066,-0.47471847352936,-0.1972892314187,15
3,F,1980,1981,0,NA,NA,1.08444117668306,0.0659934937044614,1.15043467038752,2
4,F,1980,1980,0,NA,NA,-2.34569770262935,-0.502477782393866,-2.84817548502322,0
5,F,1980,1983,0,NA,NA,0.42912468881105,-0.825998587129336,-0.396873898318286,20
6,F,1980,1985,0,NA,NA,0.506055892157574,0.166989279752984,0.673045171910558,12
7,F,1980,1981,0,NA,NA,-0.574739960134649,-0.896264626244759,-1.47100458637941,0
8,F,1980,1983,0,NA,NA,-0.546631855784187,0.168185387655757,-0.37844646812843,8
9,F,1980,1988,0,NA,NA,-0.564451999093283,0.354968261014854,-0.209483738078429,19
10,F,1980,1981,0,NA,NA,-0.890037829044104,-0.0521051168711336,-0.942142945915237,1
11,F,1980,1980,0,NA,NA,-0.477192699753547,-0.195934618716253,-0.6731273184698,0
12,F,1980,1981,0,NA,NA,-0.998386444859704,-0.64906975160576,-1.64745619646546,1
13,F,1980,1981,0,NA,NA,-0.77625389463799,-1.10976723139873,-1.88602112603672,5
14,F,1980,1981,0,NA,NA,0.0644588172762693,0.849274202655058,0.913733019931327,7
15,F,1980,1981,0,NA,NA,0.959494058970771,0.022362526076024,0.981856585046795,2
16,F,1980,1983,0,NA,NA,-0.110285494390774,0.831140617306835,0.720855122916061,7
17,F,1980,1980,0,NA,NA,-0.511009505806642,-1.24428785134423,-1.75529735715087,0
18,F,1980,1980,0,NA,NA,-0.911195416629811,0.169026413766175,-0.742169002863636,0
19,F,1980,1982,0,NA,NA,-0.83717168026894,0.673166306947679,-0.16400537332126,0
20,F,1980,1980,0,NA,NA,2.41583517848934,-0.0262763764485261,2.38955880204081,0
21,F,1980,1981,0,NA,NA,0.134088220152031,-0.191392168556024,-0.0573039484039926,3
22,F,1980,1982,0,NA,NA,-0.490685896690943,-0.781906646699876,-1.27259254339082,2
